feature,importance_mean,importance_std
feature_158,0.00293486124197635,0.0009118285476472091
feature_124,0.0027328034970777763,0.0013845653216231965
feature_129,0.002666059148318178,0.0011457732950857472
feature_61,0.002596546639719449,0.001644733023718135
feature_67,0.0025944574221622276,0.0016449715411106704
feature_6,0.0025343233919194906,0.0010592667927276046
feature_87,0.0024159545702688605,0.0005047403475280719
feature_14,0.0023919462234569615,0.0008051157736112703
feature_5,0.002391570556162334,0.0008083197341264798
feature_95,0.002305510343891937,0.0011827369397875102
feature_82,0.0019700192563763376,0.000867230877728513
feature_91,0.0019331945324356336,0.0012910399908689356
feature_76,0.0018178528493242364,0.0010143738173997011
feature_154,0.0017591038859019858,0.00027994066179662955
feature_54,0.0017480546460836577,0.0006923714125145272
feature_132,0.0017089487850711987,0.0016150359864005182
feature_10,0.0016568519456858027,0.0012968848343538075
feature_98,0.0016110532179488906,0.0004861503959951048
feature_36,0.001513890652894967,0.0007060722241125746
feature_133,0.00147174435202429,0.0015948968478056292
feature_27,0.0013258052168903882,0.0006411120875466244
feature_99,0.0013151150386766536,0.0004701417772481351
feature_42,0.0012387042195397767,0.0008295554952246101
feature_161,0.001218784686275179,0.0007076049346976817
feature_35,0.0012167135749616032,0.0007142862286139017
feature_122,0.0012092879265062167,0.00023225242974987106
feature_123,0.001184044178641544,0.00040609033773996095
feature_153,0.0011676337885734606,0.00034841096963681437
feature_16,0.0011465565923523713,0.00076492326480885
feature_134,0.0010132445650726518,0.00042100086032057605
feature_48,0.0009698020342158193,0.0009648359365124052
feature_12,0.0009175084189611188,0.000480942571586109
feature_107,0.0009062974221302949,0.00029588103568891884
k_core,0.0009051441859988324,0.00019460266480857106
feature_160,0.000888284760129518,0.0009803945185002324
clustering,0.00078729272334567,0.0004998523119633345
feature_165,0.0007031725472941092,0.0006308628699882321
feature_11,0.0006996931063658173,0.0005116387387179641
feature_63,0.0006019986412469314,0.0010983274736357219
feature_26,0.000584281093514108,0.00035619466949145733
feature_37,0.0005157066913348829,0.0006162211702947456
feature_110,0.0005083416722129669,0.0002584556138394998
feature_126,0.00044750827122103933,0.0001834567131922161
feature_135,0.0004421391611994591,0.00028742465576834874
feature_71,0.0003233992648394135,0.0003123681474332698
feature_106,0.00032204505299012756,0.0004638218963051925
feature_7,0.00029022037350432127,0.0003665772311992175
feature_64,0.000289500659522296,0.0008509899766202515
feature_58,0.0002891628310736333,0.0008511795997441155
feature_21,0.00022075700097477224,4.546362108791684e-05
feature_111,0.00021043676630767282,0.0002719170803202845
feature_70,0.0002054221416772084,0.00012542824347806924
feature_104,0.00018710251093433382,6.905740858515544e-05
feature_73,0.00017979073419315816,0.00024039582789756167
feature_15,0.00016407739047391844,0.0003263289518357211
feature_34,0.0001403339957849026,0.0003654117203419326
feature_72,0.00013855859956417028,0.00023359494265576445
feature_75,0.00012750263479246183,5.72591893127383e-05
feature_33,0.00010675749886226437,0.00029913058256044654
feature_56,4.890786395011781e-05,0.00015560049000071339
feature_121,-1.4821911617668437e-06,2.5431484148720003e-05
feature_32,-1.9616734973809667e-05,5.19571563597358e-05
feature_96,-3.2901986391062345e-05,4.152941085727947e-05
feature_30,-3.344846261214007e-05,0.00017228729974604932
feature_24,-3.345377527604332e-05,0.0001723781365401994
feature_8,-5.271688773943739e-05,0.00014828548229029674
feature_102,-0.00011775451150802529,0.0003705421638231156
feature_105,-0.00013759200016353056,0.00011000874346822025
in_degree,-0.00022855802779201962,0.000133072840531573
pagerank,-0.0002828381108575861,9.39357251613193e-05
